text,class
"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1
I saw this short film on HBO the other day and absolutely loved it.  ,1
There was hardly any meat.,0
T-Mobile has the best customer service anywhere.,1
I like Steiners because it's dark and it feels like a bar.,1
I could not stand to even watch it for very long for fear of losing I.Q.  ,0
I had about two bites and refused to eat anymore.,0
First time going but I think I will quickly become a regular.,1
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,1
The battery is completely useless to me.,0
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
They were golden-crispy and delicious.,1
I won't be back.,0
Portable and it works.,1
We definately enjoyed ourselves.,1
"All in all, I'm quite satisfied with this purchase.",1
It was probably dirt.,0
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",0
I Was Hoping for More.,0
& That movie was bad.  ,0
"I have to use the smallest earpieces provided, but it stays on pretty well.",1
Great Earpiece.,1
That company is a joke.,0
Pretty awesome place.,1
"useless phone, simply deaf.",0
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
An extensive menu provides lots of options for breakfast.,1
"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
The classic Maine Lobster Roll was fantastic.,1
Definitely a bargain.,1
It was not good.,0
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1
I found this product to be waaay too big.,0
My friend did not like his Bloody Mary.,0
Just spicy enough.. Perfect actually.,1
I am going to have to be the first to negatively review this product.,0
The Jamaican mojitos are delicious.,1
The film looks cheap and bland.  ,0
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
Now I know that I made a wise decision.,1
"But it is entertaining, nonetheless.  ",1
Restored my phone to like new performance.,1
"Frozen pucks of disgust, with some of the worst people behind the register.",0
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0
The owners are super friendly and the staff is courteous.,1
Very much disappointed with this company.,0
Reasonably priced also!,1
Great price also!,1
At no point in the proceedings does it look remotely like America.  ,0
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
An hour and a half I wish I could bring back.  ,0
The selection of food was not the best.,0
This is an unbelievable BARGAIN!,1
I have had problems wit hit dropping signal and more.,0
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0
Food was so gooodd.,1
I have been very satisfied with this cell phone from day one.,1
"Come hungry, leave happy and stuffed!",1
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
But in terms of the writing it's very fresh and bold.  ,1
"Otherwise, don't even waste your time on this.  ",0
"Again, no plot at all.  ",0
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
Ambience is perfect.,1
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0
Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1
I am very impressed with this headset from Plantronics.,1
What happened next was pretty....off putting.,0
Not good when wearing a hat or sunglasses.,0
They really want to make your experience a good one.,1
"If you have not seen this movie, I definitely recommend it!  ",1
"Of all the dishes, the salmon was the best, but all were great.",1
Doesn't do the job.,0
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0
A great film by a great director.  ,1
Nicest Chinese restaurant I've been in a while.,1
The noise shield is incrediable.,1
Cant say enough good things about this place.,1
Don't waste your money!.,0
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
I'll even say it again ? this is torture.  ,0
It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0
you could only take 2 videos at a time and the quality was very poor.,0
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",1
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,0
I don't recommend unless your car breaks down in front of it and you are starving.,0
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1
Were JERKS on the phone.,0
Wasted two hours.  ,0
this place is good.,1
The only redeeming quality of the restaurant was that it was very inexpensive.,1
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
"The burger is good beef, cooked just right.",1
The case is great and works fine with the 680.,1
"I like the fact that it rests lightly against your ear, rather than inside.",1
Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ,1
The iGo chargers and tips are really great.,1
") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0
What a waste of time!,0
Great food and great service in a clean and friendly setting.,1
These are the nicest restaurant owners I've ever come across.,1
The ambiance was incredible.,1
Best tacos in town by far!!,1
This place has a lot of promise but fails to deliver.,0
Nice Sound.,1
A lady at the table next to us found a live green caterpillar In her salad.,0
RUDE & INCONSIDERATE MANAGEMENT.,0
Doesn't Work.,0
Great Product.,1
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,0
Never again will I be dining at this place!,0
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
This allows the possibility of double booking for the same date and time after the first.,0
"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",1
The film has an ultra-cheap look to it.  ,0
What I really like there is the crepe station.,1
There's also enough hypocrisy in this film to make me vomit.  ,0
Talk about great customer service of course we will be back.,1
Brilliant!  ,1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
Horrible phone.,0
The seafood was fresh and generous in portion.,1
Can't upload ringtones from a third party.,0
wont work right or atleast for me.,0
Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0
Battery life is real good.,1
walked in and the place smelled like an old grease trap and only 2 others there eating.,0
It defeats the purpose of a bluetooth headset.,0
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
I received it quickly and it works great!!,1
"My colleague & I now get great reception.A little expensive, but performance is great.",1
"The bottowm line...another worthless, cheap gimmick from Sprint.",0
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1
Everything about this product is wrong.First,0
"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
I'd like to return it.,0
Best breakfast buffet!!!,1
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1
The story line is just awful!  ,0
dont go here.,0
It has northern humour and positive about the community it represents.  ,1
"Unfortunately, it was not good.",0
Vivian Schilling did an excellent job with the script.  ,1
"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",1
I great reception all the time.,1
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0
I'll be looking for a new earpiece.,0
This is actually a very smart movie.  ,1
This place receives stars for their APPETIZERS!!!,1
Do Not Buy for D807...wrongly advertised for D807.,0
The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,1
Good Quality.,1
The waitress was friendly and happy to accomodate for vegan/veggie options.,1
The cast is always entertaining as usual.  ,1
Avoid at all costs.  ,0
Good case!.,1
Product was excellent and works better than the verizon one and Boy was it cheaper!,1
The phone takes FOREVER to charge like 2 to 5 hours literally.,0
;) Recommend with confidence!  ,1
After two I felt disgusting.,0
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0
You wont regret it!  ,1
Mobile Phone Tools are a must have.,1
Great food.,1
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
(It works!),1
Echo Problem....Very unsatisfactory,0
The movie has almost no action scenes in it and very little comedy.  ,0
The Burrittos Blah!,0
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1
Defective crap.,0
But this movie is definitely a below average rent.  ,0
"but it is great, i would really recommend it",1
The movie was very interesting from beginning to the end.  ,1
Appears to actually outperform the original battery from China that came with my V325i.,1
It was awesome.,1
"you can even take self portraits with the outside (exterior) display, very cool.",1
"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0
Will not be back.,0
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
We'd definitely go back here again.,1
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0
none of the new ones have ever quite worked properly.,0
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1
Sauce was tasteless.,0
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
Honeslty it didn't taste THAT fresh.),0
By this time our side of the restaurant was almost empty so there was no excuse.,0
Not even good for camp value!  ,0
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0
"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",0
But it wasn't until I watched this film that I realised how great he actually was.  ,1
"Unfortunately, any virtue in this film's production work was lost on a regrettable script.  ",0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
The update procedure is difficult and cumbersome.,0
Avoid this one if you can.,0
This was one of the worst films i have ever seen.  ,0
I've never been more insulted or felt disrespected.,0
"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1
Its a total package.,1
It was horrendous.  ,0
This is a great deal.,1
Lange had become a great actress.  ,1
The plot was the same as pretty much every other cheap horror.  ,0
Excellent short film.  ,1
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1
After receiving and using the product for just 2 days it broke.,0
I want my money back.,0
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1
It is so small and you don't even realize that it is there after a while of getting used to it.,1
Highly recommend for any one who has a blue tooth phone.,1
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1
"I searched the Internet, and found this one to be the best value.",1
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1
"I have this phone and it is a thorn in my side, I really abhor it.",0
I checked out this place a couple years ago and was not impressed.,0
Food was great and so was the serivce!,1
Excellent sound quality.,1
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
There was NOTHING believable about it at all.  ,0
STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,1
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
"The fries were not hot, and neither was my burger.",0
You can't beat that.,1
"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0
"As for the service, I thought it was good.",1
The things that the four kids get themselves into is absolutely hilarious to watch.  ,1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0
So far it has worked like a charm.,1
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0
The holster that arrived did not match the photo in the ad.,0
"The food, amazing.",1
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1
Well... Just if you keep thinking how bad it is.  ,0
I would highly recommend this product.,1
Also the music by Mark Snow is possibly the best score I've ever heard.  ,1
They work about 2 weeks then break.,0
It's very slow.  ,0
"The biggest complaint I have is, the battery drains superfast.",0
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0
This is the first phone I've had that has been so cheaply made.,0
Now the pizza itself was good the peanut sauce was very tasty.,1
This place lacked style!!,0
It is unusable in a moving car at freeway speed.,0
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
Sprint charges for this service.,0
the spaghetti is nothing special whatsoever.,0
Con: spotty service.,0
The one down note is the ventilation could use some upgrading.,0
I want to first say our server was great and we had perfect service.,1
Disapointing Results.,0
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
This place is awesome if you want something light and healthy during the summer.,1
The Greek dressing was very creamy and flavorful.,1
It only recognizes the Phone as its storage device.,0
The only possible way this movie could be redeemed would be as MST3K fodder.  ,0
Never going back.,0
"As many people complained, I found this headset's microphone was very weak.",0
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1
One of the most disappointing aspects is the lack of notable gore.  ,0
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
I ended up sliding it on the edge of my pants or back pockets instead.,1
Both Rickman and Stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.  ,1
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1
You will leave the theater wanting to go out and dance under the stars.  ,1
"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0
Voice recognition is tremendous!,1
Fans of the genre will be in heaven.  ,1
I probably won't be coming back here.,0
5 stars for the brick oven bread app!,1
No buyers remorse on this one!.,0
The phone loads super!,1
I don't think there are any redeeming qualities in this remake.  ,0
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0
"It's fits like a glove and is strong, secure, and durable.",1
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
My sister has one also and she loves it.,1
"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",0
"It features an outlandish array of memorable, psychotic but lovable nuts.  ",1
However I needed some better instructions.,0
The live music on Fridays totally blows.,0
I gave it a 10  ,1
Due to this happening on every call I was forced to stop using this headset.,0
Yes it's shiny on front side - and I love it!,1
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
The pizza selections are good.,1
Happy so far!.,1
"Cute, quaint, simple, honest.",1
"The soundtrack wasn't terrible, either.  ",1
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
Not as good as I had hoped.,0
"After 20 minutes wait, I got a table.",0
He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0
"Obviously they have a terrible customer service, so you get what you pay for.",0
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
Very bad Experience!,0
No real improvement.,0
I have read other's reviews here but I haven't had any problem with it.,1
"The mic there is a joke, and the volume is quite low.",0
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
It would take too long to describe how bad my customer service experience has been with Amazon.,0
Has been working great.,1
I'd advise anyone to go and see it.  ,1
Clear crisp sound.,1
I highly recommend this device to everyone!,1
I had a pretty satifying experience.,1
But it does get better reception and clarity than any phone I've had before.,1
I don't know what kind it is but they have the best iced tea.,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1
See both films if you can.  ,1
"Anyway, I do not think i will go back there.",0
Their chow mein is so good!,1
The battery life is highly unacceptable.,0
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1
Great phone!.,1
The guy who said he's had better dialogue with his potted plants has it right.  ,0
Unreliable - I'm giving up.,0
The waiter wasn't helpful or friendly and rarely checked on us.,0
The service here leaves a lot to be desired.,0
"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1
"I have only had it for a few weeks, but so far, so good.",1
Eew... This location needs a complete overhaul.,0
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1
This is a beautiful phone.,1
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
Returned 8 hours later.,0
Then I had to continue pairing it periodically since it somehow kept dropping.,0
They dropped more than the ball.,0
The rest of the cast also play well.  ,1
"For people who are first timers in film making, I think they did an excellent job!!  ",1
WORTHWHILE.,1
What on earth is Irons doing in this film?  ,0
I miss it and wish they had one in Philadelphia!,1
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,1
"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.  ",1
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
EXCELLENT SERVICE!!!!!!!!.,1
"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1
It Was So Cool.  ,1
Great case and price!,1
The original Body and Soul (1947) is a masterpiece.  ,1
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
I rate this movie 9/10.  ,1
The atmosphere here is fun.,1
The WORST EXPERIENCE EVER.,0
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
"Overall, a delight!  ",1
Worked perfectly!,1
Great charger.,1
It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,1
I wasted my little money with this earpiece.,0
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
"It lacked flavor, seemed undercooked, and dry.",0
"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",1
How awesome is that.,1
I believe that Pitch Black was done well.  ,1
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
Generous portions and great taste.,1
This place is horrible and way overpriced.,0
This film (and I use that word loosely) is an insult to the movie-going public.  ,0
2 Thumbs Up!!,1
I am glad I purchased it.,1
"For that, it's worth checking out.  ",1
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",1
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
Poorly contstruct hinge.,0
I didn't think that the instructions provided were helpful to me.,0
Made very sturdy.,1
Don't waste your time watching this rubbish non-researched film.  ,0
"It was too predictable, even for a chick flick.  ",0
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0
Over rated.,0
I would not recommend this item to anyone.,0
Bad Choice.,0
This is one of the best bars with food in Vegas.,1
Excellent!.,1
"This movie creates its own universe, and is fascinating in every way.  ",1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
I would not recommend this place.,0
Food was really boring.,0
The waitresses are very friendly.,1
Sending it back.,0
It was pretty gross!,0
It will drive you barking mad!  ,0
If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  ,0
We walked away stuffed and happy about our first Vegas buffet experience.,1
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
Nargile - I think you are great.,1
Overpriced for what you are getting.,0
The food was terrible.,0
Why was this film made?  ,0
Protects the phone on all sides.,1
"First of all, it doesn't wear well.",0
The text messaging feature is really tricky to use.,0
Excellent product for the price.,1
Appetite instantly gone.,0
"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",1
Very Dissapointing Performance.,0
"Your servers suck, wait, correction, our server Heimer sucked.",0
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
Not a pleasant voyage of self-discovery.  ,0
"This place is pretty good, nice little vibe in the restaurant.",1
Very good quality though,1
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0
The Wind and the Lion is well written and superbly acted.  ,1
"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1
This particular model would not work with my Motorola Q smartphone.,0
The patio seating was very comfortable.,1
My fella got the huevos rancheros and they didn't look too appealing.,0
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
Bacon is hella salty.,1
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1
I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0
